Puesto,Ciudad,Índice de Calidad de Vida,Índice de Poder Adquisitivo,Índice de Seguridad,Índice de Sanidad,Índice de Costo de Vida,Relación Precio/Ingresos para Propiedades,Índice de Tiempo de Desplazamiento en Tráfico,Índice de Contaminación,Índice de Clima,Año
,"Canberra, Australia",23698,13266,6447,8185,10265,463,1080,1476,-,2014
,"Ottawa, Canadá",21877,13188,7609,6864,8615,490,4000,2246,-,2014
,"Fráncfort del Óder, Alemania",21497,13918,7248,6310,9657,507,2875,3129,-,2014
,"Zúrich, Suiza",20821,12464,7890,7561,15747,869,2480,1714,-,2014
,"Denver, Colorado, Estados Unidos",20594,13398,6040,8259,8210,181,4333,3793,-,2014
,"Bergen, Noruega",19696,9955,8427,8940,14003,905,2840,1519,-,2014
,"Calgary, Canadá",19660,11880,6690,7105,9672,541,4036,2257,-,2014
,"Trondheim, Noruega",19296,9249,8020,8481,15289,688,1914,1319,-,2014
,"Boston, Massachusetts, Estados Unidos",19259,11563,6121,7935,9294,462,4240,2459,-,2014
,"Edmonton, Canadá",18741,10213,6296,7615,9266,408,3360,2153,-,2014
,"San Diego, California, Estados Unidos",18714,14165,5275,6528,7748,275,5625,4259,-,2014
,"Wellington, Nueva Zelanda",18575,9181,6922,7352,10428,531,2750,1452,-,2014
,"Seattle, Washington, Estados Unidos",17934,11527,5966,6787,9163,438,4250,3128,-,2014
,"Adelaida, Australia",17671,10404,5835,6111,10312,497,2020,2599,-,2014
,"Chicago, Illinois, Estados Unidos",17519,11729,4509,6292,8101,282,3300,3404,-,2014
,"Copenhague, Dinamarca",17466,9783,6937,8574,11724,654,2757,3276,-,2014
,"Dubai, Emiratos Árabes Unidos",17464,11552,7717,6704,7078,533,3543,5474,-,2014
,"Berlín, Alemania",17306,9944,7225,7308,8451,622,4946,2804,-,2014
,"Melbourne, Australia",17177,10725,5917,7631,10872,830,4081,2425,-,2014
,"Toronto, Canadá",17160,10175,7134,7087,8922,796,4011,3027,-,2014
,"Viena, Austria",16965,9409,7009,7778,9016,1251,2533,2518,-,2014
,"Perth, Australia",16851,10281,5652,7495,11989,747,3845,2102,-,2014
,"Brisbane, Australia",16715,9327,6265,7515,10639,558,4582,2033,-,2014
,"Sídney, Australia",16560,10108,6218,6903,11184,870,4347,2013,-,2014
,"Estocolmo, Suecia",16086,9709,5665,7164,11394,1158,3775,1472,-,2014
,"Tokio, Japón",15993,9346,8047,7870,10420,789,4764,3780,-,2014
,"Vancouver, Canadá",15916,9155,6468,8109,9811,993,4075,2658,-,2014
,"San Francisco, California, Estados Unidos",15771,10391,5651,7421,9366,743,4050,3685,-,2014
