Puesto,Ciudad,Índice de Costo de Vida,Índice de Alquiler,Índice de Costo de Vida más Alquiler,Índice de Comestibles,Índice de Precios en Restaurantes,Índice de Poder Adquisitivo Local,Año
,"París, Francia",12782,9639,11535,11705,11653,3938,2009
,"Dublín, Irlanda",12660,8758,11112,15451,13156,5925,2009
,"Bruselas, Bélgica",11753,7877,10216,11088,10756,5558,2009
,"Berlín, Alemania",11525,3296,8261,9027,7919,5858,2009
,"Estocolmo, Suecia",11248,2999,7975,9895,8525,6387,2009
,"Viena, Austria",10950,6271,9093,8991,8064,5547,2009
,"Milán, Italia",10937,7463,9559,9607,10575,4521,2009
,"Ámsterdam, Países Bajos",10854,8395,9879,9241,11628,5378,2009
,"Tel Aviv-Yafo, Israel",10680,5882,8777,11047,6716,4246,2009
,"Londres, Reino Unido",10662,9357,10144,9669,9222,5818,2009
,"Lyon, Francia",10549,6633,8996,7558,12004,5636,2009
,"Seúl, Corea del Sur",10207,3472,7535,14999,10274,3846,2009
,"Montreal, Canadá",10180,6544,8737,8783,6293,5767,2009
,"San Francisco, California, Estados Unidos",10014,11765,10709,11742,10524,10150,2009
,"Nueva York, Nueva York, Estados Unidos",10000,10000,10000,10000,10000,10000,2009
,"Sídney, Australia",9950,6497,8580,12605,8803,9709,2009
,"Lisboa, Portugal",9097,3151,6738,5268,6641,4165,2009
,"Toronto, Canadá",8042,5952,7213,10807,5772,7854,2009
,"Santiago de Chile, Chile",7986,2206,5693,5543,4081,4040,2009
,"Atenas, Grecia",7757,3641,6124,6505,10047,3834,2009
,"Singapur, Singapur",7466,10756,8771,11078,9109,5613,2009
,"Hong Kong, Hong Kong, China)",7450,5809,6799,9514,8866,4528,2009
,"Praga, República Checa",7418,4615,6306,6376,5465,3300,2009
,"Río de Janeiro, Brasil",7046,3258,5543,7355,5176,4094,2009
,"Belgrado, Serbia",6916,3731,5653,5100,5859,2042,2009
,"Riga, Letonia",6880,4353,5877,3787,4932,2219,2009
,"Amán, Jordania",6643,1969,4789,8869,6205,1589,2009
,"Johannesburgo, Sudáfrica",6474,4464,5677,5334,4079,5423,2009
,"Budapest, Hungría",6380,3503,5239,5651,4477,2988,2009
,"Guadalajara, México",6324,2849,4945,4908,6947,3147,2009
,"Bogotá, Colombia",5852,1985,4318,6098,4427,2844,2009
,"Manama, Baréin",5801,8235,6767,7011,6720,4896,2009
,"Varsovia, Polonia",5495,3990,4898,4270,5037,3196,2009
,"Shanghái, China",5259,4593,4994,8697,4401,2131,2009
,"Bania Luka, Bosnia y Herzegovina",4963,1306,3512,5876,3599,1857,2009
,"La Paz, Bolivia",4672,2176,3682,2709,3716,3247,2009
,"Delhi, India",4425,1877,3414,2868,3618,2610,2009
,"Bangkok, Tailandia",3985,2449,3376,5330,2532,3342,2009
,"Kiev (Kiev), Ucrania",3677,3454,3589,2905,3680,3120,2009
,"Pune, India",3490,1103,2543,3452,2199,4987,2009
,"Dnipró, Ucrania",3478,2206,2973,2570,3733,2559,2009
,"Stavanger, Noruega",16920,10302,13963,19035,22064,5021,2010
,"Oslo, Noruega",15285,7102,11628,13302,14231,7784,2010
,"Breda, Países Bajos",13970,5403,10142,8063,12483,8182,2010
,"Copenhague, Dinamarca",13891,7863,11197,11660,15909,9130,2010
,"Zúrich, Suiza",13203,9923,11737,10252,15747,11108,2010
,"París, Francia",13030,8051,10805,11525,12395,6419,2010
,"Ginebra, Suiza",12269,10485,11472,16275,11155,13875,2010
,"Milán, Italia",12258,8238,10462,9692,11790,4918,2010
,"Dublín, Irlanda",12079,7138,9871,14801,11807,9872,2010
,"Bruselas, Bélgica",12000,7115,9817,10941,11093,8832,2010
,"Londres, Reino Unido",11847,11061,11496,9246,9217,7838,2010
,"Berlín, Alemania",11524,2977,7705,8729,8167,8691,2010
,"Lyon, Francia",11504,5726,8922,7982,13233,7686,2010
,"Helsinki, Finlandia",11391,6927,9396,10324,11182,9824,2010
,"Tampere, Finlandia",11196,4400,8159,10688,11113,11391,2010
,"Ámsterdam, Países Bajos",11130,7583,9544,8307,11992,8500,2010
,"Tarragona, España",11119,3838,7865,7504,8477,4220,2010
,"Estocolmo, Suecia",11102,2708,7351,9483,8792,10581,2010
,"Oxford, Reino Unido",11015,8078,9702,11420,10153,11191,2010
,"Tampa, Florida, Estados Unidos",10964,3998,7851,9916,6677,8887,2010
,"Múnich, Alemania",10796,3932,7728,11395,8632,12193,2010
,"Sídney, Australia",10483,8165,9447,13070,9085,9730,2010
,"Columbus, Ohio, Estados Unidos",10469,4263,7696,9775,6682,9368,2010
,"Viena, Austria",10388,5664,8277,8871,8472,9306,2010
,"Madrid, España",10367,6865,8802,6984,9463,4902,2010
,"Portland, Oregon, Estados Unidos",10290,4657,7773,9437,7267,12267,2010
,"Atlanta, Georgia, Estados Unidos",10099,4066,7403,9388,8719,7958,2010
,"Edmonton, Canadá",10036,4656,7632,11112,6861,8475,2010
,"Seattle, Washington, Estados Unidos",10033,4985,7777,10488,10768,13393,2010
,"Nueva York, Nueva York, Estados Unidos",10000,10000,10000,10000,10000,10000,2010
,"Leeds, Reino Unido",9950,5172,7815,9029,10085,5126,2010
,"Fráncfort del Óder, Alemania",9786,4213,7295,9902,7986,13045,2010
,"Barcelona, España",9682,5710,7907,8169,7275,6547,2010
,"Melbourne, Australia",9636,4011,7122,8141,7280,12575,2010
,"Bilbao, España",9604,5008,7550,8385,8506,5715,2010
,"Tel Aviv-Yafo, Israel",9400,5542,7676,10419,6841,5194,2010
,"Mineápolis, Estados Unidos",9285,5651,7661,10322,8004,8348,2010
,"Austin, Texas, Estados Unidos",9138,5750,7624,9159,8093,11424,2010
,"San Francisco, California, Estados Unidos",9064,8155,8658,11442,9000,11416,2010
,"Tokio, Japón",8931,6177,7701,9639,7957,10787,2010
,"Boston, Massachusetts, Estados Unidos",8911,6324,7755,7718,7804,11995,2010
,"Seúl, Corea del Sur",8860,4214,6784,12403,7940,8525,2010
,"Valencia, España",8607,2996,6099,4698,7857,5442,2010
,"Filadelfia, Pensilvania, Estados Unidos",8545,5936,7379,10780,6609,12291,2010
,"Lisboa, Portugal",8542,3145,6130,4890,6766,5120,2010
,"Balneario Camboriú, Brasil",8538,2710,5933,5213,5198,6564,2010
,"Montreal, Canadá",8534,4839,6883,9086,5818,8126,2010
,"Valladolid, España",8445,5476,7118,6872,8594,4663,2010
,"Toronto, Canadá",8337,5242,6953,10205,6216,10533,2010
,"Abu Dabi, Emiratos Árabes Unidos",8282,11806,9856,7074,11363,6316,2010
,"Zagreb, Croacia",8223,3370,6054,8221,6358,4523,2010
,"Sevilla (Sevilla), España",7950,4977,6622,5921,6831,4679,2010
,"Zaragoza (Zaragoza), España",7931,5008,6625,6687,9471,5344,2010
,"Lincoln, Nebraska, Estados Unidos",7920,2951,5700,6129,5957,11833,2010
,"Liubliana, Eslovenia",7599,4512,6219,6369,6255,5444,2010
,"Nicosia, Chipre",7583,3651,5826,8038,6410,11486,2010
,"Dubai, Emiratos Árabes Unidos",7445,9021,8150,5914,10356,8230,2010
,"Río de Janeiro, Brasil",7366,3468,5624,6628,5360,5618,2010
,"Praga, República Checa",7208,4158,5845,6291,5842,5435,2010
,"Atenas, Grecia",7136,3289,5417,7015,7343,6455,2010
,"Santiago de Chile, Chile",7067,1968,4788,5535,4157,5139,2010
,"Teherán, Irán",6914,9051,7869,7332,3358,3842,2010
,"Varna, Bulgaria",6885,1498,4477,5144,6224,4634,2010
,"Riga, Letonia",6818,3183,5193,3736,5086,3835,2010
,"Hong Kong, Hong Kong, China)",6802,5959,6425,9326,6032,5125,2010
,"Belgrado, Serbia",6680,3230,5138,4754,6042,3046,2010
,"Miskolc, Hungría",6676,1902,4542,6048,4504,3181,2010
,"Singapur, Singapur",6594,7185,6858,10033,5641,7679,2010
,"Amán, Jordania",6564,2639,4810,8821,6515,2211,2010
,"Budapest, Hungría",6373,3164,4939,5576,4928,2982,2010
,"Moscú, Rusia",6328,7280,6753,2781,7718,4353,2010
,"Estambul, Turquía",6260,3705,5118,6928,4626,5308,2010
,"Budva, Montenegro",6113,1180,3908,5383,5919,2973,2010
,"Johannesburgo, Sudáfrica",6111,3982,5160,5198,4317,5205,2010
,"Gdynia, Polonia",6016,4025,5126,4263,4067,4870,2010
,"Novi Sad, Serbia",5965,1947,4170,5266,6130,3980,2010
,"Medellín, Colombia",5916,967,3705,4667,3984,1883,2010
,"Poznan, Polonia",5650,1722,3895,4767,5758,4687,2010
,"Sofía, Bulgaria",5608,2836,4370,5117,4333,3260,2010
